,genre,budget,runtime,year,month,revenue
1371,Comedy,35000000,125.0,2015,7,140795793
1536,Comedy,31000000,99.0,2015,7,104384188
1808,Science Fiction,26000000,116.0,2015,7,30523226
242,Action,120000000,100.0,2015,8,167977596
531,Comedy,75000000,116.0,2015,8,108145109
791,Adventure,58000000,103.0,2015,8,158162788
1696,Drama,28000000,147.0,2015,8,201634991
1917,Drama,25000000,120.0,2015,8,24902723
143,Adventure,150000000,111.0,2015,9,128388320
270,Drama,108000000,141.0,2015,9,630161890
464,Animation,80000000,89.0,2015,9,473226958
474,na,0,81.0,2015,9,0
671,Adventure,55000000,121.0,2015,9,203427584
708,Action,61000000,132.0,2015,9,311256926
877,Crime,53000000,122.0,2015,9,98837872
1173,Comedy,35000000,121.0,2015,9,194564672
1452,Adventure,35000000,123.0,2015,9,61181942
1596,Action,30000000,121.0,2015,9,84025816
1736,Comedy,28000000,108.0,2015,9,7002261
1909,Crime,25000000,131.0,2015,9,42972994
2,Action,245000000,148.0,2015,10,880674609
486,Fantasy,90000000,106.0,2015,10,146936910
492,Comedy,8000000,89.0,2015,10,0
1187,Thriller,40000000,141.0,2015,10,165478348
54,Adventure,175000000,93.0,2015,11,331926147
102,Action,160000000,137.0,2015,11,653428261
310,Thriller,100000000,122.0,2015,11,93820758
313,Animation,99000000,88.0,2015,11,246233113
1111,Drama,40000000,109.0,2015,11,34227298
1327,Drama,37000000,133.0,2015,11,173567581
1419,Crime,8900000,93.0,2015,11,4100000
1424,Drama,35000000,123.0,2015,11,50363790
1680,Fantasy,30000000,85.0,2015,11,0
176,na,135000000,156.0,2015,12,532950503
308,Action,105000000,114.0,2015,12,133718711
359,Adventure,0,92.0,2015,12,233755553
684,Crime,44000000,167.0,2015,12,155760117
738,Drama,60000000,124.0,2015,12,101134059
796,Comedy,60000000,119.0,2015,12,0
916,Comedy,50000000,96.0,2015,12,242786137
1357,Action,36000000,105.0,2015,12,156844753
1704,Comedy,28000000,130.0,2015,12,133346506
152,Action,145000000,95.0,2016,1,521170825
621,Action,80000000,114.0,2016,1,52099090
786,Action,68490000,120.0,2016,1,193677158
941,Action,50000000,144.0,2016,1,69411370
1174,Action,40000000,102.0,2016,1,124827316
1326,Adventure,38000000,112.0,2016,1,109906372
1335,Comedy,38000000,110.0,2016,1,112343513
1962,Action,25000000,98.0,2016,1,1397284
161,Fantasy,140000000,127.0,2016,2,150680864
788,Action,58000000,108.0,2016,2,783112979
997,Comedy,50000000,100.0,2016,2,55969000
1737,Romance,28000000,108.0,2016,2,16374328
1888,Comedy,23000000,106.0,2016,2,46152800
9,Action,250000000,151.0,2016,3,873260194
256,Adventure,110000000,121.0,2016,3,179246868
739,Action,60000000,99.0,2016,3,205754447
26,Adventure,250000000,147.0,2016,4,1153304495
78,na,175000000,106.0,2016,4,966550600
237,Action,115000000,114.0,2016,4,164602163
1528,Action,31500000,113.0,2016,4,14708696
1690,Comedy,29000000,91.0,2016,4,78636257
64,Science Fiction,178000000,144.0,2016,5,543934787
105,Fantasy,170000000,113.0,2016,5,299370084
107,Action,160000000,123.0,2016,5,433677183
550,na,73000000,97.0,2016,5,349779543
1160,Horror,40000000,134.0,2016,5,320170008
1385,Comedy,35000000,91.0,2016,5,108758521
1700,Comedy,29000000,110.0,2016,5,48902953
1770,Thriller,27000000,98.0,2016,5,93282604
62,Action,180000000,109.0,2016,6,356743061
91,Action,165000000,120.0,2016,6,389681935
175,Adventure,140000000,120.0,2016,6,183345589
241,Fantasy,135000000,112.0,2016,6,245623848
370,Action,90000000,129.0,2016,6,334901337
504,Animation,75000000,87.0,2016,6,875958308
914,Action,50000000,107.0,2016,6,216972543
979,na,50000000,139.0,2016,6,25035950
56,Action,185000000,122.0,2016,7,343471816
97,Action,15000000,120.0,2016,7,77000000
148,Action,144000000,116.0,2016,7,229147509
218,Action,120000000,123.0,2016,7,415484914
1038,Crime,25000000,127.0,2016,7,15436808
1682,Adventure,19000000,83.0,2016,7,140752617
72,Action,175000000,123.0,2016,8,745000000
357,Drama,100000000,125.0,2016,8,94061311
